State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,3159,1275,3563,950,158224,31,350,17,198,36182,170,22494,32722,30434,12785,7268,5926,481,108514,37842,16969,30943,4878,27634,248,23,27,3,1,95.0,65.0,69.0,60.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,3913,1104,2979,1052,191864,27,572,5,1,24998,155,29602,40900,33514,15013,6008,2760,116,134573,43210,18762,33861,4402,31260,1005,122,136,10,4,93.0,60.0,62.0,57.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,6438,1965,5605,2043,158236,34,318,8,20,25268,198,15865,37024,41627,18746,10223,8030,401,106951,40510,18811,28312,3203,27684,916,128,147,19,0,97.0,77.0,80.0,74.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,11955,2025,2580,772,136995,39,286,6,2,28846,261,16523,30889,35113,17282,8821,5560,1107,91709,32267,16730,25713,3712,24291,605,69,83,12,2,98.0,73.0,75.0,71.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,358214,28736,2197709,94254,6434,237,111,201,18345,296834,7370,342192,470502,416510,267354,112392,105962,27493,1303828,622575,390611,502635,15734,399222,52884,9291,11631,1805,535,96.0,70.0,76.0,63.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,151377,14451,1398543,104202,745,169,81,111,61,164636,2637,210736,391081,297270,177013,71815,67536,17449,848660,393629,260486,296688,8307,225412,44020,10122,13377,2491,764,98.0,73.0,78.0,67.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,248298,51809,2457729,141263,11985,1026,6276,1180,168,349587,15046,289414,545514,513039,328319,159456,181601,45279,1372301,743090,499895,494043,58873,419696,66251,14098,18244,3201,945,94.0,77.0,82.0,71.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,163636,17312,1185542,4805,727,124,366,39,139,117172,1810,188872,238599,193395,132002,53162,43064,10903,641697,326233,222398,263641,9666,214369,28592,3889,4631,584,158,95.0,70.0,76.0,63.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,153199,5370,353160,1556,219482,53,2180,66,4,63112,635,68405,76419,54787,36977,17084,12556,1882,345387,144043,85072,119272,7161,91784,13439,1791,2078,246,41,104.0,45.0,54.0,37.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,565448,56274,3486059,13315,23975,590,174,170,76,405298,9049,518072,767140,508511,297490,121151,97147,31266,1980232,924756,613249,672524,74534,529384,103539,23512,29241,4698,1031,98.0,63.0,71.0,54.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,56809,15836,553587,12783,10462,1441,80,70,67,81433,2498,69122,101541,103622,70928,32909,22010,7932,320156,159477,98555,107762,21243,101028,12354,1663,1991,259,69,95.0,70.0,77.0,63.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,436733,18453,1555367,4975,11160,796,175,1225,220,91171,1953,213426,225468,172905,94044,40383,27385,6840,880160,415778,275533,382053,10876,330517,22551,1204,1364,134,26,100.0,51.0,62.0,40.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,162932,11946,580300,2138,148895,82,290,47,23,28736,768,108606,145604,108773,48856,21351,14962,2462,436625,177471,117777,156795,9613,131279,11463,916,1065,119,30,104.0,55.0,65.0,44.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,143864,16544,1386792,50247,1423,169,62,52,24,173107,1628,218444,357621,298557,203472,76449,75926,12507,771284,374559,290894,318778,5112,243965,41936,7922,10098,1686,490,101.0,76.0,81.0,70.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,116274,39471,2147632,84060,12527,1264,475,476,434,349860,35701,276378,445785,436534,295099,177974,247498,66645,1199521,653346,391701,361364,102422,351892,63308,14040,18047,3203,804,93.0,78.0,82.0,73.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,290626,14416,1294151,8850,68550,518,219,491,3384,85766,3988,158847,158653,98266,60589,32257,29000,10200,818578,348803,207206,294487,30413,254148,26944,2145,2437,245,47,103.0,41.0,50.0,32.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,106353,7725,600219,1871,10039,213,43,195,35,24604,448,60913,64683,44962,19031,8487,5585,1202,381913,146355,83284,128850,5901,104884,12404,857,932,65,10,102.0,40.0,48.0,32.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,568755,113808,2113079,33706,15008,661,162,109,351714,140189,2950,283489,390037,385216,214921,92060,72847,17415,1449729,650135,414076,559038,17104,430350,56862,6052,7021,821,148,101.0,54.0,63.0,46.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,120129,17557,955754,5278,383,107,33,24,12,124984,1163,174904,227102,177180,90089,36951,33148,5685,502136,262086,196994,219723,7144,174854,29322,4341,5245,720,184,92.0,71.0,78.0,64.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,149834,8641,601092,4952,1778,724,76,905,22,43976,757,64389,114394,73787,51886,19577,10131,4316,344075,152681,112325,152129,3851,128333,11864,897,1013,95,21,102.0,49.0,60.0,38.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,163942,25115,1644905,46094,4239,193,243,94,302,201605,3416,251520,413605,364098,179086,84374,87000,15511,888134,477430,328666,343935,17603,270707,51583,9651,12268,2037,580,96.0,76.0,81.0,70.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,248175,9959,874445,4607,84916,219,249,123,44,61543,1553,84956,97387,73210,46001,21439,17681,6306,577569,245766,140825,201492,17683,166387,17042,1555,1749,162,32,105.0,42.0,51.0,33.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,160798,59288,964188,20120,50637,2506,310,86,1117,126498,5231,133005,185289,171876,108455,50705,45828,13071,565700,286575,186726,212516,27844,187345,21159,2471,2934,372,91,98.0,68.0,75.0,60.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,253327,26970,1532352,71391,385011,5713,710,721,89986,223537,12787,208100,350349,335380,243386,120373,94710,36590,1188918,573238,324436,356607,73640,351438,44411,5684,6939,1008,247,97.0,64.0,71.0,57.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,13077,1327,152638,28835,18391,46,63,54,14,47880,1868,18943,32899,33458,29456,15930,18998,4877,102333,60089,37434,33788,12831,36645,4554,628,771,115,28,105.0,77.0,82.0,73.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,82,69,27940,12856,958,3,21,14,3,7150,574,2948,6043,7930,8773,5711,4475,978,19760,12543,9428,6569,494,3991,1267,489,685,132,64,118.0,87.0,87.0,88.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,3324,146,53537,1191,873,3,1,4,4,12859,207,3804,10954,8806,8044,4101,3836,1315,31973,15235,8402,6947,5816,10594,821,58,66,8,0,104.0,71.0,73.0,68.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,121599,41642,690939,12502,54344,1716935,876,3152,1044,461231,29961,197944,313874,283819,328229,203656,142399,15879,1384987,667193,436496,430041,41576,324471,87870,19372,22637,2777,488,89.0,68.0,71.0,64.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,128382,14938,380569,16299,2474,984286,246,1266,559,255650,11284,117795,182796,145626,163928,96329,70240,16666,754927,377707,255283,235988,21224,168278,55630,13697,15928,1876,355,87.0,61.0,66.0,55.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,54058,8225,141363,3125,1227,469789,155,1109,103,113549,4348,53734,89433,71178,75419,48360,29838,5790,336540,164962,113721,109071,6142,76761,25289,5936,6901,816,149,89.0,62.0,66.0,57.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,21389,8048,152851,16808,1698,427521,48,178,251,113683,5138,51897,102257,83931,95073,59555,34990,4607,321018,166781,111028,101426,11510,71651,23817,6191,7425,1003,231,87.0,71.0,74.0,67.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,227971,14679,906408,6844,19358,1090815,454,1143,278,349662,10042,196971,306838,226433,221806,147698,82448,25734,1171770,525459,331259,344538,17695,251154,72346,17405,20602,2805,392,89.0,60.0,66.0,54.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,100684,30903,1074332,27667,176587,1002874,405,580,812,411216,14428,180897,315156,290618,372317,243539,104345,22107,1261421,611353,423301,409745,14231,285718,82786,19869,23635,3187,579,90.0,71.0,75.0,67.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,74362,15990,1000743,23089,14968,538208,3476,2034,531,319930,13747,143871,256127,238975,301435,176013,93618,17427,831741,422782,330671,303081,17651,217844,52307,9712,11214,1309,193,96.0,76.0,79.0,72.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,66664,29762,1394329,30233,26016,718363,11385,4011,805,446200,39082,183441,333736,304652,339758,216646,162965,34576,1159156,616431,416449,378807,61615,303584,68750,13495,15600,1805,300,92.0,74.0,77.0,71.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,42387,9861,336124,10190,5445,453692,6662,553,334,161206,9732,71698,127031,112774,128828,77442,48221,9501,433331,222324,157833,141816,18924,110069,28131,5932,7043,943,168,91.0,71.0,74.0,67.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,98646,71667,1502403,77713,16517,1863408,2007,19620,1254,703624,58589,277247,488129,443759,527568,318876,272280,44240,1901528,980046,614258,570487,127020,476270,122292,27009,31634,3911,714,87.0,73.0,76.0,69.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,90367,13442,156539,10375,917,598443,123,1577,493,140099,2673,75708,106162,84553,85953,48663,27461,5658,420050,200882,146103,140422,4905,95737,30615,7184,8364,982,198,88.0,55.0,60.0,50.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,82397,18098,158414,9388,3277,818921,178,436,365,183396,7897,98764,158812,116716,128693,85642,37417,11956,535408,258826,194768,178205,9104,124032,38321,8484,10212,1410,318,89.0,63.0,66.0,59.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,111014,5187,254920,4333,1681,638625,240,744,433,166585,4571,90240,137470,101852,104682,62612,36905,10666,495167,242628,162297,159581,9169,112350,36561,9078,10416,1119,219,90.0,58.0,63.0,53.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,89123,23647,783306,40043,5683,1059944,245,1914,1410,352929,24274,173890,283837,239609,256826,157435,141947,27272,1042519,517079,335100,325608,28546,235508,74053,17967,21439,2872,600,89.0,67.0,71.0,62.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,21520,12321,304481,14492,2094,361045,118,653,143,129123,6600,53005,107715,98135,116836,68794,38823,9388,365300,185424,131707,114943,14317,86325,25742,6079,7234,981,174,92.0,73.0,78.0,69.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,91799,18578,389410,179116,2406,1077438,268,3222,1038,305557,10736,163251,250833,197901,220210,130155,73636,18393,904316,435148,311621,294479,15033,198490,68026,17062,20319,2642,615,89.0,61.0,65.0,56.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,145523,35602,2201663,314159,10605,6799,417,45614,184,393498,13499,379043,394576,313680,200191,130608,172683,28138,1561077,629951,388040,437083,40066,314176,83680,25926,33606,5942,1738,95.0,59.0,70.0,48.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,216772,34562,3039279,547335,2696,64532,4384,13221,348,485723,9750,492781,492981,468628,324050,230415,222622,31390,2346721,836000,490137,595153,27599,403740,113701,49889,65112,11527,3696,89.0,59.0,70.0,47.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,199370,19818,1701234,48834,22250,427,138,22613,109,120603,2324,240067,190259,137780,75011,50438,47094,8145,1153029,406214,216554,352341,10180,279122,52822,5271,5992,617,104,98.0,46.0,57.0,35.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,185037,15258,1133349,79984,1432,3066,84,2795,48,161310,1363,203489,194024,144190,76209,46847,49939,8057,762204,286344,173100,223828,13069,170718,41104,8689,10462,1441,332,93.0,57.0,68.0,44.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,132696,30565,2244882,321192,1157,450,157,34010,34,126494,2766,406804,352636,219932,101291,52272,39533,7328,1731122,527629,326476,436661,8087,313839,77361,15768,19460,3021,671,90.0,46.0,57.0,33.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,238894,25068,2143046,371286,1576,23456,899,5758,18,288723,4179,363676,330336,314953,211938,147520,132571,23311,1659515,546362,329127,411145,8732,282742,69981,29251,38271,6974,2046,88.0,58.0,70.0,45.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,163052,30149,2224839,142427,1978,1468,183,35149,60,373644,6207,398993,338296,258990,141250,92785,106667,10928,1439454,589476,365023,450389,37857,320832,87757,23072,28722,4572,1078,97.0,52.0,64.0,40.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,103833,26244,2073356,235741,1901,20072,285,30850,79,220793,7607,410155,333211,254335,143669,80296,101714,18577,1543867,517271,288165,349733,17010,239576,71678,30558,42151,8393,3200,91.0,54.0,63.0,44.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,111388,11172,1017688,66609,682,11059,144,13455,24,136969,1392,153500,159218,121104,63248,41227,41052,6460,686771,267648,155958,202701,13298,151094,36875,9429,11579,1783,367,92.0,53.0,64.0,40.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,123469,15435,1413163,97855,1274,1515,252,25843,136,268172,4941,245603,225700,170455,90889,58129,67155,10768,880043,398303,258997,293931,27803,212406,61690,14687,17882,2621,574,97.0,53.0,66.0,40.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,87983,16594,1777879,249736,958,402,188,7104,127,231696,2577,336671,302022,237220,161520,100677,77282,13320,1293193,458725,272176,338115,6521,217710,69555,29997,39372,7125,2250,94.0,56.0,66.0,46.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,76277,17185,1582335,45488,439,296,94,3737,115,195277,1719,229035,235474,208537,135234,92559,90833,13764,1047136,358718,210117,284497,4381,197083,49469,18290,23883,4287,1306,91.0,57.0,70.0,44.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,74342,12721,1127520,72258,688,1356,92,2739,21,96086,1330,207566,172914,132964,77360,45590,37856,8194,815651,248416,141365,195242,4973,141825,28860,8921,11666,2121,624,85.0,57.0,67.0,45.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,184330,12514,1340065,28662,830,240,226,16141,853,141275,1477,238847,175059,114245,60656,42887,39312,4834,868458,317700,191917,273174,6186,208338,45907,5454,6207,662,91,99.0,49.0,60.0,38.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,230438,13790,1437144,50688,2077,474853,938,1988,164,283142,6295,237042,314107,238397,163098,105734,104071,19396,1167889,502211,283484,330298,23354,257909,63985,18448,21776,2759,569,89.0,61.0,68.0,52.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,166833,13839,1433067,118673,1542,216997,241,1935,138,243163,3360,239601,273441,219194,153628,104087,84185,14416,1058044,453114,242361,306363,11944,216660,61217,22375,26672,3510,787,91.0,58.0,67.0,49.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,131523,91011,5819980,687452,12708,18782,1020,81079,257,990085,76565,819004,875940,823570,659389,455527,703673,96562,4091148,1646480,884057,1001457,127486,740126,198552,84826,117273,23600,8847,91.0,65.0,74.0,55.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,43872,6835,497045,168129,874,1723,98,1521,34,43141,754,109484,71132,41264,20142,12759,10604,1720,448969,140294,79977,107832,3328,80220,17296,4594,5828,1001,233,85.0,46.0,58.0,32.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,158013,21867,1732852,78990,730,231,144,14640,82,161845,1585,270997,277152,181691,75304,32366,25210,7850,1176496,390598,249379,315704,9562,221234,63191,15317,19356,3324,715,95.0,45.0,58.0,32.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,209772,11199,1299751,96164,842,819,46,12488,42,220428,1750,226614,203488,143108,73388,46267,47985,6972,850546,346110,213674,263801,15426,189643,52602,12912,16131,2583,636,95.0,52.0,64.0,40.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,68878,13472,1905682,228178,1004,275,56,548,85,297559,4828,296093,305626,301866,256621,192240,158936,25286,1298780,494124,330126,371091,9196,239984,74557,30255,38856,6711,1890,95.0,64.0,74.0,53.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,242017,42412,3224399,411558,6035,4123,514,36697,80,408808,19335,497762,512035,405132,259304,154789,177199,30720,2359786,836322,489280,574887,41870,418390,119108,34698,44835,7937,2200,92.0,55.0,66.0,43.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,115367,9521,1370977,81553,602,297,70,3424,413,132079,1059,220644,193938,170399,104208,69443,67639,14402,947173,310688,192042,256601,4524,180863,40760,14651,18963,3409,903,86.0,55.0,68.0,41.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,134992,25125,1661307,243993,5665,11058,280,25742,286,339899,12843,286676,294591,250092,172538,118710,167778,27485,1177474,495896,275396,300393,69588,263575,60434,15559,19386,3084,743,91.0,67.0,75.0,57.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,263401,29647,2833443,454487,1912,366,163,12940,276,347344,4449,513871,486057,388822,242053,147701,117444,14853,2088323,754143,463469,562803,15019,360200,124145,42635,56894,10858,3401,95.0,53.0,65.0,41.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,237280,26119,1870543,143476,1345,1540,141,18974,52,326793,4043,293818,359329,271312,144581,71472,67021,9403,1207983,467436,343384,396294,26351,292954,69280,16371,20467,3334,762,99.0,53.0,65.0,41.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,106587,13505,1105676,33677,759,260,100,14966,68,193276,1989,190090,190388,140839,72969,41063,34286,4732,687165,275099,193668,229656,13593,159285,44271,11252,13851,2124,475,99.0,54.0,66.0,41.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,88804,12070,1165505,155681,945,812,177,9991,42,140947,1887,205450,172925,151108,87349,57625,70870,14384,841697,309237,183234,243362,7424,175484,41668,11899,15234,2651,684,90.0,56.0,69.0,40.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,87889,22776,2342076,327583,1122,356,177,4050,15,339457,5647,369959,438872,367412,282595,200430,181282,19321,1672813,605002,381226,434072,7418,265630,92135,42387,58649,11892,4370,95.0,62.0,72.0,50.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,97823,9443,996562,30479,1284,572,114,6829,56,134089,2146,117971,147381,110385,58213,30724,27076,5251,649290,244401,142251,184197,13430,141471,31461,5958,7260,1113,189,94.0,46.0,58.0,33.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,113426,16004,1243527,153146,754,378,122,22458,30,158264,1908,237191,190750,154825,91853,64431,67155,9919,880194,334006,205593,258120,7695,175326,49640,15166,19827,3484,1177,95.0,53.0,66.0,39.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,302968,33535,2869976,104307,7406,4278,209,78647,373,357846,14211,442946,386075,277392,164290,102085,142672,20010,1876436,739287,451034,575790,35318,433280,105608,21011,25259,3576,672,96.0,52.0,62.0,41.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,3094,19541,1410852,178807,15792,53027,2643,46927,366,352758,80037,86484,219061,260094,267825,235187,246988,18644,948963,497157,262124,241976,101386,246036,50271,11891,14439,2087,461,88.0,79.0,82.0,75.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,166837,13564,708397,7942,37403,104,88,65,42,177502,1749,60697,134123,113437,96860,53934,57524,16126,380484,216103,157771,181005,14004,146444,18746,1243,1339,87,9,101.0,64.0,72.0,56.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,13674,37345,3751322,439270,358662,2851,2804,51708,1759,1096334,217368,167207,516445,720331,801050,464207,905515,67277,2271657,1468902,899279,522493,565934,859219,111380,15288,17628,1926,414,99.0,81.0,84.0,78.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,230026,50085,3044145,211035,190314,1112,435,3284,237,896325,63273,220388,466745,523563,526165,273098,440520,53709,1579517,1117221,757738,561733,346382,730354,82440,7282,7924,561,81,100.0,76.0,81.0,72.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,539412,32027,2391675,123749,83334,401,236,1280,138,598412,15396,169844,412237,418769,386652,186394,227530,67411,1364411,764669,473617,526657,98143,473604,65535,6433,7371,773,165,99.0,70.0,76.0,63.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,267345,15341,1452956,38304,14089,164,39,37,87,337972,3651,129778,240222,221194,177877,103367,112592,26069,804186,434328,267536,344702,32008,280175,50837,4998,5458,409,51,95.0,61.0,68.0,53.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,467959,30829,1879494,105012,169945,313,256,71,138,500057,9155,207751,386421,372636,282628,153100,163050,29443,1065734,647806,443528,445908,106467,414781,64405,6056,6698,543,99,100.0,69.0,76.0,62.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,370212,54322,2115455,76098,55899,435,148,639,157,595211,18604,175017,345914,319484,269016,155344,215514,30391,1006543,701326,542295,466373,177609,487375,56971,3695,3912,196,21,99.0,66.0,73.0,59.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,272514,54732,3537399,173785,256762,1620,990,4962,756,961161,100322,183054,535947,608188,634172,312208,526886,67354,2076492,1200284,715895,700252,281627,761575,97620,10013,11193,1025,155,99.0,75.0,80.0,71.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,72867,35789,909872,78590,876299,160,438,156,10,465692,15673,134236,331559,314029,322511,226312,254107,43034,887052,556548,425849,420282,57337,343647,55107,5937,6697,646,114,102.0,83.0,84.0,81.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,200837,11340,993666,53292,16483,115,29,7,79,264949,4915,76629,190229,167466,146666,77874,85595,14951,501585,320645,241843,221047,61893,206574,31734,2873,3206,291,42,102.0,68.0,76.0,61.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,372828,47293,2760502,168881,97711,520,199,1532,305,754141,34097,234611,525151,532616,453509,250285,363152,39350,1528178,913715,593827,491822,279755,605700,71390,7350,8241,762,129,99.0,75.0,80.0,69.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,345057,11555,1435072,128617,47579,184,450,963,110,381940,5585,136593,323359,313357,249630,122350,125639,35762,828444,463326,323706,365468,40644,308480,31907,3303,3832,436,93,103.0,75.0,80.0,70.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,253726,38797,1673652,32483,16909,183,108,84,199,441044,8960,123573,297179,247516,214836,126468,169206,21582,817905,510413,397064,343287,126986,354019,45345,2788,2947,145,14,99.0,68.0,75.0,61.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,118278,5343,521658,32702,10301,83,39,38,26,135751,1507,85210,106751,85101,71650,41447,44025,9189,291371,158218,115151,132395,14725,105551,14136,1057,1159,92,10,100.0,66.0,74.0,59.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,305149,13941,1428784,114194,72850,119,81,32,293,354493,4494,97231,283299,270046,251855,121706,111731,31315,835853,470428,311175,344074,42109,283940,46461,5400,6160,661,99,101.0,69.0,76.0,62.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,153874,25228,1047411,208038,91139,154,86,29,36,291400,5172,246909,293886,236511,189132,105978,97405,16785,708322,389764,252888,270430,51959,232329,38952,5592,6654,845,217,98.0,72.0,79.0,66.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,454210,141503,3326357,95487,53841,412,174,992,246,835377,20660,188672,571061,518763,457866,242306,296399,60365,1737345,1029479,713294,706525,199211,678452,98849,7933,8622,609,80,95.0,66.0,72.0,59.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,199563,14656,1186078,74310,75481,150,80,109,24,314270,5773,101778,216931,236700,199263,103903,115894,23941,666218,391356,280462,277432,59229,245294,39006,4472,5165,602,91,100.0,72.0,79.0,65.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,415361,31200,2075870,190814,133971,231,795,1256,148,555582,13495,138375,431983,419605,373111,178126,222410,49261,1193095,712017,499235,475525,108700,445798,58184,6279,7135,710,146,103.0,74.0,80.0,69.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,315161,14939,1148990,56751,37574,152,79,28,74,312310,4667,90590,219747,213496,156676,95231,101147,14674,618923,373564,252267,243448,78115,253069,30050,2641,2892,221,30,99.0,70.0,77.0,63.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,270586,58240,3325823,143093,233633,1422,951,3693,530,909400,75634,181452,461918,600731,622789,303091,451321,66378,1925296,1154775,643614,636443,291863,717165,93063,9615,10766,1021,130,99.0,75.0,80.0,70.0
