State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,371584,46056,2158623,59471,2228,1163,364,3135,1689,294702,3754,338947,334635,309536,197373,148091,105499,16052,1365647,535086,326049,455270,16995,355209,57313,11238,14209,2332,639,93.0,62.0,69.0,53.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,227026,9917,1163607,137980,1404,640,357,6232,66,212138,1566,193885,179388,136284,120687,77541,50655,6755,817608,305605,187611,235670,11139,182590,39641,8512,10506,1614,380,92.0,60.0,69.0,50.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,376404,11957,1145052,79739,1857,360,7288,4982,135315,228695,1182,223650,241327,151636,116124,84398,55984,6427,809922,363037,205237,284384,14621,234284,34573,3561,4058,428,69,98.0,63.0,70.0,55.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,258991,14329,997073,42426,2372,912,268,1737,19448,113184,1733,161972,154282,128427,80402,60915,46513,5352,645619,269145,150655,232450,9838,185549,26350,3543,4231,561,127,97.0,57.0,65.0,49.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,303157,8809,1321003,174724,815,631,179,13755,66,232735,1382,271215,239081,141225,111366,75967,48671,3391,901161,369741,240768,281671,12132,196730,55971,14413,17907,2775,719,94.0,59.0,70.0,48.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,115261,4166,638702,41396,230,6387,201,379,40,74770,273,90911,70840,43009,37072,24732,17091,1497,449974,155063,82416,138428,5214,111135,15868,2663,3212,452,97,90.0,48.0,58.0,37.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,220440,13079,1648749,51200,1117,7151,3421,12171,72,148128,1852,261087,214162,125117,84684,58509,44812,6218,1106084,389652,227989,341253,11678,267155,39868,7302,9170,1466,402,88.0,52.0,62.0,41.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,262030,15654,1077545,34419,511,128,92,93,12556,102228,837,185550,168224,129344,80312,60845,33067,3896,721531,253685,150959,231540,5173,171599,31910,6187,8213,1528,498,96.0,53.0,61.0,45.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,223852,15622,1383475,44143,588,251,109,15569,39,132725,1090,202448,188694,143231,78053,58245,35034,5340,898323,343824,201875,292003,5586,211780,45660,10204,12472,1837,431,90.0,52.0,60.0,42.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,302003,19678,1718204,233133,4659,3241,945,24622,211,323379,7501,286534,280030,178295,159263,119586,111290,13282,1156749,508302,320502,338261,36739,247634,73411,20198,25274,3946,1130,96.0,62.0,72.0,53.0
